"x","life_expectancy_at_birth","life_expectancy_at_birth_2","neonatal_mortality_rate","neonatal_mortality_rate_2","infant_mortality_rate","infant_mortality_rate_2","under_five_mortality_rate","under_five_mortality_rate_2","under_five_mortality_rate_3","under_five_mortality_rate_4","adult_mortality_rate","adult_mortality_rate_2","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
NA,"","","","","","","Total","Total","Male","Female","Male","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"years","years","per 1,000 live births","per 1,000 live births","per 1,000 live births","per 1,000 live births","per 1,000 live births","per 1,000 live births","per 1,000 live births","per 1,000 live births","per 1,000","per 1,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"1990","2021","1990","2021","1990","2021","1990","2021","2021","2021","2015-20","2015-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","46","62","74","34","121","43","179","56","59","52","319","210"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albania","73","76","13","7","35","8","41","10","10","9","115","56"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Algeria","67","76","24","16","44","19","52","22","24","21","115","82"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"American Samoa","..","..","..","..","..","..","..","..","..","..","..",".."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andorra","..","..","7","1","9","3","13","3","3","2","..",".."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Angola","42","62","54","27","132","47","224","69","75","63","313","213"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antigua and Barbuda","73","78","8","3","11","5","14","6","7","6","104","59"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Argentina","72","75","15","5","25","6","29","7","8","6","148","88"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armenia","69","72","23","6","42","10","49","11","12","10","249","86"
